model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.45370625,0.976124375,0.9375,94.32894833333333,94.32894833333333,0.9761278333333333,0.8666666666666667
none,96.45370625,0.976124375,0.9375,94.32894833333333,94.32894833333333,0.9761278333333333,0.8666666666666667
f16,96.45370625,0.976124375,0.9375,94.32894833333333,94.32894833333333,0.9761278333333333,0.8666666666666667
i8,87.000325,0.8946475,0.8125,85.09925833333331,85.09925833333331,0.908560833333333,0.7166666666666667
