model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.78559375,0.9808656250000001,0.9375,97.22563666666666,97.22563666666666,0.9889376666666665,0.9333333333333333
none,96.78559375,0.9808656250000001,0.9375,97.22563666666666,97.22563666666666,0.9889376666666665,0.9333333333333333
f16,96.78559375,0.9808656250000001,0.9375,97.22563666666666,97.22563666666666,0.9889376666666665,0.9333333333333333
i8,81.26083750000001,0.86622625,0.6875,77.19416999999999,77.19416999999999,0.8456309999999998,0.6
