model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.5798375,0.97792625,0.9375,97.19474333333334,97.19474333333334,0.9884963333333333,0.9333333333333333
none,96.5798375,0.97792625,0.9375,97.19474333333334,97.19474333333334,0.9884963333333333,0.9333333333333333
f16,96.5798375,0.97792625,0.9375,97.19474333333334,97.19474333333334,0.9884963333333333,0.9333333333333333
i8,83.8102375,0.90264625,0.6875,83.99611333333334,83.99611333333334,0.9070873333333334,0.6833333333333333
