model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.77868125,0.980766875,0.9375,96.61305333333333,96.61305333333333,0.9873293333333333,0.9166666666666666
none,96.77868125,0.980766875,0.9375,96.61305333333333,96.61305333333333,0.9873293333333333,0.9166666666666666
f16,96.77868125,0.980766875,0.9375,96.60727833333333,96.60727833333333,0.9872468333333333,0.9166666666666666
i8,85.91811875,0.905973125,0.75,85.50612333333332,85.50612333333332,0.9072303333333331,0.7333333333333333
