model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.86412499999999,0.9819874999999999,0.9375,96.48619,96.48619,0.9855169999999999,0.9166666666666666
none,96.86412499999999,0.9819874999999999,0.9375,96.48619,96.48619,0.9855169999999999,0.9166666666666666
f16,96.86412499999999,0.9819874999999999,0.9375,96.48828999999999,96.48828999999999,0.985547,0.9166666666666666
i8,86.07464999999999,0.9349949999999999,0.6875,88.43509166666665,88.43509166666665,0.9276441666666665,0.7833333333333333
