model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.77666875,0.9807381249999999,0.9375,95.14778666666668,95.14778666666668,0.9806826666666667,0.8833333333333333
none,96.77666875,0.9807381249999999,0.9375,95.14778666666668,95.14778666666668,0.9806826666666667,0.8833333333333333
f16,96.77666875,0.9807381249999999,0.9375,95.15607000000001,95.15607000000001,0.9808010000000001,0.8833333333333333
i8,93.46483124999999,0.9602118749999999,0.875,92.29634166666666,92.29634166666666,0.9685191666666667,0.8166666666666667
