model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.8169625,0.98131375,0.9375,97.20223333333333,97.20223333333333,0.9886033333333333,0.9333333333333333
none,96.8169625,0.98131375,0.9375,97.20223333333333,97.20223333333333,0.9886033333333333,0.9333333333333333
f16,96.8169625,0.98131375,0.9375,97.20223333333333,97.20223333333333,0.9886033333333333,0.9333333333333333
i8,90.79454999999999,0.9220649999999999,0.875,85.38837333333332,85.38837333333332,0.8984053333333332,0.75
