model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.80865,0.9811949999999999,0.9375,95.45089833333333,95.45089833333333,0.9850128333333333,0.8833333333333333
none,96.80865,0.9811949999999999,0.9375,95.45089833333333,95.45089833333333,0.9850128333333333,0.8833333333333333
f16,96.80865,0.9811949999999999,0.9375,95.44960333333333,95.44960333333333,0.9849943333333333,0.8833333333333333
i8,93.21501875,0.9566431249999999,0.875,91.09636666666667,91.09636666666667,0.9513766666666666,0.8166666666666667
