model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.33671874999999,0.9744531249999999,0.9375,96.84407833333334,96.84407833333334,0.9834868333333335,0.9333333333333333
none,96.33671874999999,0.9744531249999999,0.9375,96.84407833333334,96.84407833333334,0.9834868333333335,0.9333333333333333
f16,96.33671874999999,0.9744531249999999,0.9375,96.84313333333334,96.84313333333334,0.9834733333333335,0.9333333333333333
i8,84.77286875,0.916398125,0.6875,83.13365166666668,83.13365166666668,0.9090521666666669,0.65
