model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.753175,0.9804025,0.9375,97.09508666666667,97.09508666666667,0.9870726666666667,0.9333333333333333
none,96.753175,0.9804025,0.9375,97.09508666666667,97.09508666666667,0.9870726666666667,0.9333333333333333
f16,96.753175,0.9804025,0.9375,97.09508666666667,97.09508666666667,0.9870726666666667,0.9333333333333333
i8,87.81888750000002,0.9063412500000001,0.8125,87.14547999999999,87.14547999999999,0.9163639999999998,0.7666666666666667
