model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.31396874999999,0.9741281249999999,0.9375,95.78857999999998,95.78857999999998,0.9826939999999997,0.9
none,96.31396874999999,0.9741281249999999,0.9375,95.78857999999998,95.78857999999998,0.9826939999999997,0.9
f16,96.31396874999999,0.9741281249999999,0.9375,95.78857999999998,95.78857999999998,0.9826939999999997,0.9
i8,62.57661875,0.760023125,0.3125,78.75683333333333,78.75683333333333,0.8393833333333334,0.6666666666666666
