model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.859225,0.9819175,0.9375,96.58336166666669,96.58336166666669,0.9869051666666669,0.9166666666666666
none,96.859225,0.9819175,0.9375,96.58336166666669,96.58336166666669,0.9869051666666669,0.9166666666666666
f16,96.859225,0.9819175,0.9375,96.58336166666669,96.58336166666669,0.9869051666666669,0.9166666666666666
i8,83.22477500000001,0.8942825000000001,0.6875,83.96686499999998,83.96686499999998,0.9066694999999999,0.6833333333333333
