model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.7796875,0.9807812499999999,0.9375,95.22090166666668,95.22090166666668,0.9817271666666668,0.8833333333333333
none,96.7796875,0.9807812499999999,0.9375,95.22090166666668,95.22090166666668,0.9817271666666668,0.8833333333333333
f16,96.7796875,0.9807812499999999,0.9375,95.22090166666668,95.22090166666668,0.9817271666666668,0.8833333333333333
i8,94.19055625,0.9705793749999999,0.875,92.80699333333332,92.80699333333332,0.9686713333333331,0.8333333333333334
