model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.76209999999999,0.9805299999999999,0.9375,96.54007833333333,96.54007833333333,0.9862868333333332,0.9166666666666666
none,96.76209999999999,0.9805299999999999,0.9375,96.54007833333333,96.54007833333333,0.9862868333333332,0.9166666666666666
f16,96.76209999999999,0.9805299999999999,0.9375,96.54007833333333,96.54007833333333,0.9862868333333332,0.9166666666666666
i8,92.89100624999999,0.9520143749999999,0.875,90.412965,90.412965,0.9558994999999999,0.7833333333333333
