model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.842775,0.9816825,0.9375,93.63753166666666,93.63753166666666,0.9805361666666667,0.8333333333333334
none,96.842775,0.9816825,0.9375,93.63753166666666,93.63753166666666,0.9805361666666667,0.8333333333333334
f16,96.842775,0.9816825,0.9375,94.13434666666666,94.13434666666666,0.9804906666666665,0.85
i8,80.3182875,0.8527612499999999,0.6875,80.92345166666667,80.92345166666667,0.8631921666666666,0.6833333333333333
