model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.81744375000001,0.9813206250000001,0.9375,96.55270166666668,96.55270166666668,0.9864671666666668,0.9166666666666666
none,96.81744375000001,0.9813206250000001,0.9375,96.55270166666668,96.55270166666668,0.9864671666666668,0.9166666666666666
f16,96.81744375000001,0.9813206250000001,0.9375,96.55134833333334,96.55134833333334,0.9864478333333333,0.9166666666666666
i8,83.70151875,0.901093125,0.6875,87.73111333333333,87.73111333333333,0.9175873333333333,0.7833333333333333
