model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.77500625,0.980714375,0.9375,94.64426333333333,94.64426333333333,0.9806323333333332,0.8666666666666667
none,96.77500625,0.980714375,0.9375,94.64426333333333,94.64426333333333,0.9806323333333332,0.8666666666666667
f16,96.77500625,0.980714375,0.9375,94.64426333333333,94.64426333333333,0.9806323333333332,0.8666666666666667
i8,93.03975625,0.9541393749999999,0.875,91.27502833333334,91.27502833333334,0.9610718333333335,0.8
