model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.808125,0.9811875000000001,0.9375,97.14084333333332,97.14084333333332,0.9877263333333332,0.9333333333333333
none,96.808125,0.9811875000000001,0.9375,97.14084333333332,97.14084333333332,0.9877263333333332,0.9333333333333333
f16,96.808125,0.9811875000000001,0.9375,97.14006166666665,97.14006166666665,0.9877151666666665,0.9333333333333333
i8,81.51646249999999,0.89666375,0.625,82.11491000000001,82.11491000000001,0.880213,0.6833333333333333
