model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.77133125,0.980661875,0.9375,95.36567333333335,95.36567333333335,0.9837953333333335,0.8833333333333333
none,96.77133125,0.980661875,0.9375,95.36567333333335,95.36567333333335,0.9837953333333335,0.8833333333333333
f16,96.77133125,0.980661875,0.9375,95.36849666666669,95.36849666666669,0.9838356666666669,0.8833333333333333
i8,89.2918625,0.92738375,0.8125,86.36695833333333,86.36695833333333,0.9266708333333333,0.7166666666666667
