model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.33260625,0.9743943749999999,0.9375,94.90256333333333,94.90256333333333,0.9843223333333333,0.8666666666666667
none,96.33260625,0.9743943749999999,0.9375,94.90256333333333,94.90256333333333,0.9843223333333333,0.8666666666666667
f16,96.33260625,0.9743943749999999,0.9375,94.90183999999999,94.90183999999999,0.9843119999999999,0.8666666666666667
i8,44.97435625,0.588919375,0.125,67.90488166666668,67.90488166666668,0.7486411666666668,0.5166666666666667
