model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.79189375,0.980955625,0.9375,97.24080333333332,97.24080333333332,0.9891543333333331,0.9333333333333333
none,96.79189375,0.980955625,0.9375,97.24080333333332,97.24080333333332,0.9891543333333331,0.9333333333333333
f16,96.79189375,0.980955625,0.9375,97.24080333333332,97.24080333333332,0.9891543333333331,0.9333333333333333
i8,88.862675,0.9212524999999999,0.8125,86.17403833333333,86.17403833333333,0.9239148333333334,0.7166666666666667
