model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.79360000000001,0.9809800000000001,0.9375,95.40028833333334,95.40028833333334,0.9842898333333334,0.8833333333333333
none,96.79360000000001,0.9809800000000001,0.9375,95.40028833333334,95.40028833333334,0.9842898333333334,0.8833333333333333
f16,96.79360000000001,0.9809800000000001,0.9375,95.40028833333334,95.40028833333334,0.9842898333333334,0.8833333333333333
i8,76.2121625,0.84767375,0.5625,80.16041333333334,80.16041333333334,0.8665773333333335,0.65
