model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.85231250000001,0.9818187500000001,0.9375,96.01487833333333,96.01487833333333,0.9859268333333333,0.9
none,96.85231250000001,0.9818187500000001,0.9375,96.01487833333333,96.01487833333333,0.9859268333333333,0.9
f16,96.85231250000001,0.9818187500000001,0.9375,96.01487833333333,96.01487833333333,0.9859268333333333,0.9
i8,82.40630000000002,0.8825900000000001,0.6875,83.98203333333333,83.98203333333333,0.8997433333333332,0.7
