model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.7929875,0.98097125,0.9375,94.76563333333333,94.76563333333333,0.9752233333333332,0.8833333333333333
none,96.7929875,0.98097125,0.9375,94.76563333333333,94.76563333333333,0.9752233333333332,0.8833333333333333
f16,96.7929875,0.98097125,0.9375,94.76187666666665,94.76187666666665,0.9751696666666665,0.8833333333333333
i8,77.52741875000001,0.8664631250000001,0.5625,80.80404166666666,80.80404166666666,0.8686291666666666,0.6666666666666666
