model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.56981875000001,0.9777831250000001,0.9375,96.20412333333333,96.20412333333333,0.9886303333333332,0.9
none,96.56981875000001,0.9777831250000001,0.9375,96.20412333333333,96.20412333333333,0.9886303333333332,0.9
f16,96.56981875000001,0.9777831250000001,0.9375,96.20721499999999,96.20721499999999,0.9886744999999999,0.9
i8,61.33642499999999,0.7958774999999999,0.1875,75.27927000000001,75.27927000000001,0.8325610000000001,0.5666666666666667
