model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.41713125000001,0.9756018750000001,0.9375,95.91403166666666,95.91403166666666,0.9844861666666666,0.9
none,96.41713125000001,0.9756018750000001,0.9375,95.91403166666666,95.91403166666666,0.9844861666666666,0.9
f16,96.41713125000001,0.9756018750000001,0.9375,95.91403166666666,95.91403166666666,0.9844861666666666,0.9
i8,66.75768124999999,0.792966875,0.375,75.10784333333335,75.10784333333335,0.8158263333333335,0.6
