model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.8321,0.98153,0.9375,96.56354,96.56354,0.986622,0.9166666666666666
none,96.8321,0.98153,0.9375,96.56354,96.56354,0.986622,0.9166666666666666
f16,96.8321,0.98153,0.9375,96.56500999999999,96.56500999999999,0.9866429999999998,0.9166666666666666
i8,86.71034375,0.917290625,0.75,85.96588166666666,85.96588166666666,0.9209411666666666,0.7166666666666667
