model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.8006,0.9810800000000001,0.9375,96.59235666666666,96.59235666666666,0.9870336666666666,0.9166666666666666
none,96.8006,0.9810800000000001,0.9375,96.59235666666666,96.59235666666666,0.9870336666666666,0.9166666666666666
f16,96.8006,0.9810800000000001,0.9375,96.59142333333332,96.59142333333332,0.9870203333333333,0.9166666666666666
i8,56.50489375,0.726855625,0.1875,73.21817666666666,73.21817666666666,0.8102596666666666,0.55
