model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.68951875,0.9794931250000001,0.9375,96.65826166666668,96.65826166666668,0.9879751666666667,0.9166666666666666
none,96.68951875,0.9794931250000001,0.9375,96.65826166666668,96.65826166666668,0.9879751666666667,0.9166666666666666
f16,96.68951875,0.9794931250000001,0.9375,96.66045500000001,96.66045500000001,0.9880065000000001,0.9166666666666666
i8,87.43882500000001,0.9276975000000001,0.75,84.24391499999999,84.24391499999999,0.9034844999999998,0.7
