Filter Size,best FB,best G,best Det Performance,id
6,0.968860625,0.875,94.07024375,9
7,0.968955625,0.875,94.07689375,9
8,0.9685918749999999,0.875,94.05143125,9
9,0.96728,0.875,93.95960000000001,9
10,0.968463125,0.875,94.04241875,9
11,0.970069375,0.875,94.15485625,9
12,0.9700962499999999,0.875,94.15673749999999,9
