Merge Mode,best FB,best G,best Det Performance,id
erase,0.952071875,0.8125,91.02003125,49
average,0.9516343749999998,0.6875,87.23940624999999,49
drop_first,0.9639018749999999,0.8125,91.84813125,49
drop_last,0.9607593749999999,0.8125,91.62815624999999,49
remain_first,0.93086125,0.6875,85.7852875,49
remain_last,0.9355362500000001,0.75,87.9875375,49
none,0.9664149999999999,0.875,93.89904999999999,49
