Quant Type,Avg Test,Std Test,Avg Train,Std Train,Max Test+Train,Max ID
FLOAT16,96.20459375,0.0,94.57181333333332,0.0,96.20459375+94.57181333333332=190.7764070833333,0
None,96.36708125,0.0,94.97441833333335,0.0,96.36708125+94.97441833333335=191.34149958333336,0
