Model,Avg Train,Std Train,Avg Val,Std Val,Max Combine(Train+Test),Max Idx
original,95.91319599833334,1.1039879300548245,96.66265755625,0.6085671510749437,194.49147291666665(97.69266666666665+96.79880625),483
none,95.91319599833334,1.1039879300548245,96.66265755625,0.6085671510749437,194.49147291666665(97.69266666666665+96.79880625),483
f16,95.91780924666665,1.104372794577093,96.6625558375,0.6083606161814629,194.49147291666665(97.69266666666665+96.79880625),483
i8,85.42614130333334,6.334328301776507,84.0513751375,10.555689573725033,189.94639791666668(93.52016666666667+96.42623125),933
