Model,Avg Train,Std Train,Avg Val,Std Val,Max Combine(Train+Test),Max Idx
original,92.60353006253908,1.5491222701960319,95.48004902673546,2.2460396880471407,192.3231245833333(95.68024333333332+96.64288125),420
none,92.60353006253908,1.5491222701960319,95.48004902673546,2.2460396880471407,192.3231245833333(95.68024333333332+96.64288125),420
f16,92.59538781738588,1.5663525701197012,95.47497721622891,2.2460736667266743,192.3136425(95.638605+96.67503749999999),487
i8,80.57210843339588,17.664878511207615,79.8206604010319,21.079749109432246,191.74652291666666(95.21144166666667+96.53508124999999),418
