model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.77666875,0.980738125,0.9375,95.35725000000001,95.35725000000001,0.9836750000000001,0.8833333333333333
none,96.77666875,0.980738125,0.9375,95.35725000000001,95.35725000000001,0.9836750000000001,0.8833333333333333
f16,96.77666875,0.980738125,0.9375,95.35725000000001,95.35725000000001,0.9836750000000001,0.8833333333333333
i8,89.88935625,0.935919375,0.8125,87.60177166666666,87.60177166666666,0.9371681666666666,0.7333333333333333
