model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.78559375,0.980865625,0.9375,95.45586833333333,95.45586833333333,0.9850838333333333,0.8833333333333333
none,96.78559375,0.980865625,0.9375,95.45586833333333,95.45586833333333,0.9850838333333333,0.8833333333333333
f16,96.78559375,0.980865625,0.9375,95.44599833333334,95.44599833333334,0.9849428333333334,0.8833333333333333
i8,86.80358125000001,0.891836875,0.8125,84.79439833333332,84.79439833333332,0.8970628333333331,0.7333333333333333
