model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.7172125,0.97988875,0.9375,96.0697,96.0697,0.98671,0.9
none,96.7172125,0.97988875,0.9375,96.0697,96.0697,0.98671,0.9
f16,96.7172125,0.97988875,0.9375,96.0697,96.0697,0.98671,0.9
i8,89.61976875,0.932068125,0.8125,89.02054666666668,89.02054666666668,0.9431506666666668,0.7666666666666667
