centroid,num_cluster,use_swa,epoch,o_score,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
Linear,185,1,10,195.46,91.59403125,0.9602718750000001,0.8125,92.4832873375,94.28874666666667,0.9684106666666668,0.8833333333333333
Linear,245,1,5,195.14565,94.81075625,0.9794393749999999,0.875,95.2677645875,96.19563,0.988509,0.9
Linear,138,1,26,194.869127,90.83846874999999,0.949478125,0.8125,92.31285031249999,95.30629166666667,0.9758041666666666,0.9
Linear,256,0,2,-1,94.43783125,0.974111875,0.875,94.95941948750001,96.01840166666666,0.9859771666666666,0.9
Linear,256,1,5,-1,94.34385625,0.972769375,0.875,95.04810498750001,96.47794333333333,0.9782563333333333,0.9333333333333333
