centroid,num_cluster,use_swa,epoch,o_score,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
Linear,185,1,10,195.46,96.64397499999998,0.9788424999999998,0.9375,96.03092464999999,94.78624666666667,0.9826606666666667,0.8666666666666667
Linear,245,1,5,195.14565,91.35489375,0.9568556250000001,0.8125,91.5669241125,91.99741,0.949963,0.85
Linear,138,1,26,194.869127,90.16935625,0.939919375,0.8125,91.67138603750001,94.72096166666667,0.9745851666666666,0.8833333333333333
Linear,256,0,2,-1,96.186875,0.9723124999999999,0.9375,95.94528530000001,95.45478500000002,0.9779255000000002,0.9
Linear,256,1,5,-1,96.07806875,0.970758125,0.9375,95.2077310125,93.44068166666668,0.9705811666666667,0.85
