dense1,dense2,o_score,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG,avg_gap_train,avg_gap_test
16,6,194.17156,94.3686625,0.9731237500000001,0.875,96.33277333333334,96.33277333333334,0.9833253333333334,0.9166666666666666,50.801167236050105,51.65431111111111
11,6,194.046251,92.07536875,0.9671481249999999,0.8125,97.00260499999999,97.00260499999999,0.9857514999999999,0.9333333333333333,55.2474906458435,55.40885333333333
18,14,194.019485,96.19120625,0.9723743749999999,0.9375,96.32338166666665,96.32338166666665,0.9831911666666665,0.9166666666666666,59.77475597852611,58.38366222222222
11,14,194.002647,88.5249625,0.94321375,0.75,96.57524166666667,96.57524166666667,0.9867891666666667,0.9166666666666666,55.22825768667643,55.40885333333333
16,10,193.942951,96.61698125000001,0.9784568750000001,0.9375,96.00453000000002,96.00453000000002,0.9857790000000002,0.9,53.754668944200425,54.428604444444446
