model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.8391875,0.98163125,0.9375,96.24578500000001,96.24578500000001,0.9892255000000001,0.9
none,96.8391875,0.98163125,0.9375,96.24578500000001,96.24578500000001,0.9892255000000001,0.9
f16,96.8391875,0.98163125,0.9375,96.24503833333334,96.24503833333334,0.9892148333333335,0.9
