model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.73431875,0.9801331249999999,0.9375,94.10245166666667,94.10245166666667,0.9728921666666667,0.8666666666666667
none,96.73431875,0.9801331249999999,0.9375,94.10245166666667,94.10245166666667,0.9728921666666667,0.8666666666666667
f16,96.73431875,0.9801331249999999,0.9375,94.09786666666666,94.09786666666666,0.9728266666666666,0.8666666666666667
i8,85.92345,0.9328350000000001,0.6875,81.12464333333334,81.12464333333334,0.9160663333333334,0.5666666666666667
