model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.76174999999999,0.980525,0.9375,93.89010666666667,93.89010666666667,0.9698586666666668,0.8666666666666667
none,96.76174999999999,0.980525,0.9375,93.89010666666667,93.89010666666667,0.9698586666666668,0.8666666666666667
f16,96.76174999999999,0.980525,0.9375,93.88962833333333,93.88962833333333,0.9698518333333334,0.8666666666666667
i8,96.07885625000002,0.9707693750000002,0.9375,91.715505,91.715505,0.9602214999999998,0.8166666666666667
