model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,93.81185625,0.965169375,0.875,92.69691833333333,92.69691833333333,0.9670988333333334,0.8333333333333334
none,93.81185625,0.965169375,0.875,92.69691833333333,92.69691833333333,0.9670988333333334,0.8333333333333334
f16,93.81185625,0.965169375,0.875,92.69163333333334,92.69163333333334,0.9670233333333335,0.8333333333333334
i8,86.57388125,0.9421268749999999,0.6875,82.11325500000001,82.11325500000001,0.9230465000000001,0.5833333333333334
