model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.60608749999999,0.9783012499999999,0.9375,92.17224333333333,92.17224333333333,0.9667463333333333,0.8166666666666667
none,96.60608749999999,0.9783012499999999,0.9375,92.17224333333333,92.17224333333333,0.9667463333333333,0.8166666666666667
f16,96.60608749999999,0.9783012499999999,0.9375,92.171485,92.171485,0.9667355,0.8166666666666667
i8,27.786025000000002,0.37015750000000003,0.0625,48.11690333333333,48.11690333333333,0.5873843333333333,0.23333333333333334
