model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.71830625,0.979904375,0.9375,94.96942666666669,94.96942666666669,0.9781346666666669,0.8833333333333333
none,96.71830625,0.979904375,0.9375,94.96942666666669,94.96942666666669,0.9781346666666669,0.8833333333333333
f16,96.71830625,0.979904375,0.9375,94.96849333333336,94.96849333333336,0.9781213333333336,0.8833333333333333
i8,88.2867,0.93981,0.75,88.69717666666665,88.69717666666665,0.9599596666666663,0.7166666666666667
