model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,89.50325624999999,0.9571893749999999,0.75,92.32183333333334,92.32183333333334,0.9688833333333335,0.8166666666666667
none,89.50325624999999,0.9571893749999999,0.75,92.32183333333334,92.32183333333334,0.9688833333333335,0.8166666666666667
f16,89.50325624999999,0.9571893749999999,0.75,92.32183333333334,92.32183333333334,0.9688833333333335,0.8166666666666667
i8,72.1415125,0.86987875,0.375,83.48924500000001,83.48924500000001,0.9427035000000002,0.5833333333333334
