model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.62013125,0.978501875,0.9375,94.47156166666664,94.47156166666664,0.9781651666666664,0.8666666666666667
none,96.62013125,0.978501875,0.9375,94.47156166666664,94.47156166666664,0.9781651666666664,0.8666666666666667
f16,96.61111875,0.9783731250000001,0.9375,94.47010333333331,94.47010333333331,0.9781443333333331,0.8666666666666667
i8,96.658325,0.9790475000000001,0.9375,94.76565666666664,94.76565666666664,0.9752236666666664,0.8833333333333333
