model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.66808125,0.979186875,0.9375,93.94471833333333,93.94471833333333,0.9706388333333333,0.8666666666666667
none,96.66808125,0.979186875,0.9375,93.94471833333333,93.94471833333333,0.9706388333333333,0.8666666666666667
f16,96.66808125,0.979186875,0.9375,93.94617666666667,93.94617666666667,0.9706596666666667,0.8666666666666667
i8,93.57945625,0.9618493750000001,0.875,91.75646666666665,91.75646666666665,0.9608066666666666,0.8166666666666667
