model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.7595625,0.98049375,0.9375,93.88794833333333,93.88794833333333,0.9698278333333333,0.8666666666666667
none,96.7595625,0.98049375,0.9375,93.88794833333333,93.88794833333333,0.9698278333333333,0.8666666666666667
f16,96.7595625,0.98049375,0.9375,93.89564833333333,93.89564833333333,0.9699378333333333,0.8666666666666667
i8,77.4297125,0.91863875,0.4375,76.88082166666666,76.88082166666666,0.9125831666666667,0.43333333333333335
