model,testScore,testavgFB,testG,default,trainScore,trainavgFB,trainG
original,96.743725,0.9802675,0.9375,93.01972166666667,93.01972166666667,0.9788531666666668,0.8166666666666667
none,96.743725,0.9802675,0.9375,93.01972166666667,93.01972166666667,0.9788531666666668,0.8166666666666667
f16,96.743725,0.9802675,0.9375,93.01972166666667,93.01972166666667,0.9788531666666668,0.8166666666666667
i8,51.95488125,0.715426875,0.0625,63.159301666666664,63.159301666666664,0.7808471666666666,0.2833333333333333
